,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
12348,29,entrepreneur,married,basic.6y,no,yes,yes,telephone,jul,fri,286,3,999,0,1.4,93.918,-42.7,4.959,5228.1
8565,50,admin.,single,university.degree,no,no,no,telephone,jun,wed,178,6,999,0,1.4,94.465,-41.8,4.864,5228.1
21424,29,admin.,single,university.degree,no,no,no,cellular,aug,tue,103,4,999,0,1.4,93.444,-36.1,4.963,5228.1
3316,35,admin.,single,university.degree,no,no,no,telephone,may,thu,135,1,999,0,1.1,93.994,-36.4,4.86,5191.0
33246,40,blue-collar,single,high.school,unknown,no,no,cellular,may,tue,418,1,999,0,-1.8,92.893,-46.2,1.291,5099.1
30543,45,entrepreneur,married,basic.4y,unknown,no,no,cellular,may,mon,211,5,999,0,-1.8,92.893,-46.2,1.354,5099.1
6099,34,services,married,high.school,no,yes,yes,telephone,may,tue,596,1,999,0,1.1,93.994,-36.4,4.857,5191.0
6253,38,blue-collar,single,high.school,no,no,no,telephone,may,tue,364,2,999,0,1.1,93.994,-36.4,4.857,5191.0
13369,38,blue-collar,single,university.degree,no,no,no,cellular,jul,wed,176,1,999,0,1.4,93.918,-42.7,4.962,5228.1
27910,58,unemployed,married,basic.4y,unknown,yes,no,cellular,mar,thu,439,4,999,0,-1.8,92.843,-50.0,1.538,5099.1
22231,31,management,married,university.degree,no,no,yes,cellular,aug,thu,166,2,999,0,1.4,93.444,-36.1,4.963,5228.1
8192,35,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,tue,409,1,999,0,1.4,94.465,-41.8,4.864,5228.1
3726,26,services,single,high.school,no,no,no,telephone,may,fri,177,4,999,0,1.1,93.994,-36.4,4.859,5191.0
40351,31,student,single,university.degree,no,no,no,cellular,aug,tue,279,4,6,2,-1.7,94.027,-38.3,0.899,4991.6
29744,25,self-employed,divorced,university.degree,no,no,no,cellular,apr,mon,111,1,999,0,-1.8,93.075,-47.1,1.405,5099.1
39172,53,admin.,divorced,university.degree,no,yes,yes,cellular,mar,thu,431,1,999,1,-1.8,93.369,-34.8,0.654,5008.7
38445,22,student,single,high.school,no,no,no,cellular,oct,fri,270,3,6,1,-3.4,92.431,-26.9,0.73,5017.5
17254,58,services,married,high.school,no,yes,no,cellular,jul,fri,72,30,999,0,1.4,93.918,-42.7,4.962,5228.1
18560,33,admin.,divorced,high.school,no,no,yes,cellular,jul,thu,83,3,999,0,1.4,93.918,-42.7,4.968,5228.1
919,32,services,single,high.school,no,yes,no,telephone,may,wed,180,2,999,0,1.1,93.994,-36.4,4.856,5191.0
36148,38,management,single,university.degree,no,no,no,cellular,may,wed,123,2,999,0,-1.8,92.893,-46.2,1.27,5099.1
8970,33,admin.,married,university.degree,no,unknown,unknown,telephone,jun,thu,49,1,999,0,1.4,94.465,-41.8,4.866,5228.1
14558,56,management,married,basic.4y,unknown,yes,no,cellular,jul,tue,122,1,999,0,1.4,93.918,-42.7,4.961,5228.1
16001,54,retired,divorced,university.degree,no,yes,no,cellular,jul,tue,152,2,999,0,1.4,93.918,-42.7,4.961,5228.1
22100,29,admin.,married,university.degree,no,no,yes,cellular,aug,thu,220,3,999,0,1.4,93.444,-36.1,4.963,5228.1
41181,37,admin.,married,university.degree,no,yes,no,cellular,nov,fri,281,1,999,0,-1.1,94.767,-50.8,1.028,4963.6
6011,33,services,married,high.school,no,yes,yes,telephone,may,tue,274,1,999,0,1.1,93.994,-36.4,4.857,5191.0
32379,39,blue-collar,married,basic.4y,no,no,no,cellular,may,fri,180,2,999,0,-1.8,92.893,-46.2,1.313,5099.1
37126,47,admin.,divorced,university.degree,no,yes,yes,cellular,aug,tue,185,1,999,0,-2.9,92.201,-31.4,0.884,5076.2
37372,59,blue-collar,married,basic.4y,no,no,no,cellular,aug,tue,163,3,999,0,-2.9,92.201,-31.4,0.883,5076.2
25569,31,blue-collar,married,high.school,no,no,no,cellular,nov,wed,436,1,999,0,-0.1,93.2,-42.0,4.12,5195.8
30223,44,technician,married,university.degree,no,yes,yes,cellular,apr,thu,504,2,999,0,-1.8,93.075,-47.1,1.365,5099.1
27808,88,retired,divorced,basic.4y,no,yes,no,cellular,mar,wed,96,6,999,0,-1.8,92.843,-50.0,1.663,5099.1
12453,30,services,married,high.school,no,yes,no,cellular,jul,mon,559,4,999,0,1.4,93.918,-42.7,4.96,5228.1
34399,37,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,345,1,999,0,-1.8,92.893,-46.2,1.266,5099.1
35601,29,admin.,married,university.degree,no,yes,no,cellular,may,mon,167,1,999,0,-1.8,92.893,-46.2,1.244,5099.1
8808,23,services,single,professional.course,unknown,no,no,telephone,jun,thu,202,1,999,0,1.4,94.465,-41.8,4.866,5228.1
31113,37,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,wed,438,2,999,0,-1.8,92.893,-46.2,1.334,5099.1
1312,26,services,divorced,basic.6y,no,no,no,telephone,may,thu,186,1,999,0,1.1,93.994,-36.4,4.855,5191.0
35341,32,technician,single,professional.course,no,no,no,cellular,may,fri,53,3,999,0,-1.8,92.893,-46.2,1.25,5099.1
3585,44,management,married,university.degree,no,no,no,telephone,may,fri,627,1,999,0,1.1,93.994,-36.4,4.859,5191.0
27929,28,admin.,single,high.school,no,no,yes,cellular,mar,fri,77,2,999,0,-1.8,92.843,-50.0,1.531,5099.1
26628,51,retired,married,basic.9y,no,yes,no,cellular,nov,thu,259,1,999,0,-0.1,93.2,-42.0,4.076,5195.8
24904,50,services,married,high.school,no,yes,no,cellular,nov,tue,90,1,999,0,-0.1,93.2,-42.0,4.153,5195.8
9890,31,services,married,basic.9y,no,yes,no,telephone,jun,wed,886,2,999,0,1.4,94.465,-41.8,4.959,5228.1
13948,29,admin.,single,high.school,unknown,no,no,cellular,jul,fri,487,3,999,0,1.4,93.918,-42.7,4.963,5228.1
3490,42,blue-collar,married,basic.4y,unknown,no,no,telephone,may,thu,391,3,999,0,1.1,93.994,-36.4,4.86,5191.0
8020,27,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,176,4,999,0,1.4,94.465,-41.8,4.865,5228.1
9392,36,blue-collar,married,high.school,no,no,yes,telephone,jun,fri,164,3,999,0,1.4,94.465,-41.8,4.967,5228.1
16637,53,services,married,professional.course,no,yes,no,cellular,jul,wed,185,10,999,0,1.4,93.918,-42.7,4.963,5228.1
20377,42,technician,divorced,professional.course,no,yes,yes,cellular,aug,tue,158,1,999,0,1.4,93.444,-36.1,4.966,5228.1
8730,37,blue-collar,single,unknown,no,no,no,telephone,jun,wed,65,10,999,0,1.4,94.465,-41.8,4.864,5228.1
40336,67,retired,married,basic.4y,no,no,no,cellular,aug,mon,341,2,13,1,-1.7,94.027,-38.3,0.898,4991.6
4953,25,self-employed,single,university.degree,no,yes,no,telephone,may,wed,373,3,999,0,1.1,93.994,-36.4,4.858,5191.0
20878,31,technician,married,professional.course,no,no,no,cellular,aug,thu,184,1,999,0,1.4,93.444,-36.1,4.964,5228.1
36317,39,admin.,married,university.degree,no,yes,no,cellular,jun,mon,206,1,999,1,-2.9,92.963,-40.8,1.266,5076.2
28601,25,student,single,high.school,no,no,no,telephone,apr,wed,405,1,999,0,-1.8,93.075,-47.1,1.415,5099.1
21902,43,management,married,university.degree,no,yes,no,cellular,aug,wed,535,1,999,0,1.4,93.444,-36.1,4.964,5228.1
32211,36,blue-collar,married,basic.4y,unknown,no,no,cellular,may,fri,612,1,999,0,-1.8,92.893,-46.2,1.313,5099.1
25598,38,services,married,high.school,no,no,no,cellular,nov,wed,426,2,999,1,-0.1,93.2,-42.0,4.12,5195.8
3251,41,blue-collar,single,basic.9y,no,no,no,telephone,may,thu,74,1,999,0,1.1,93.994,-36.4,4.86,5191.0
20474,36,management,married,university.degree,no,no,no,cellular,aug,tue,231,2,999,0,1.4,93.444,-36.1,4.966,5228.1
17999,31,housemaid,single,high.school,no,yes,no,cellular,jul,wed,125,3,999,0,1.4,93.918,-42.7,4.963,5228.1
36580,25,unemployed,married,high.school,no,no,no,cellular,jun,thu,125,2,999,0,-2.9,92.963,-40.8,1.26,5076.2
28324,35,technician,divorced,professional.course,no,yes,no,cellular,apr,wed,405,1,999,0,-1.8,93.075,-47.1,1.445,5099.1
33277,46,technician,married,professional.course,no,no,no,cellular,may,tue,87,2,999,0,-1.8,92.893,-46.2,1.291,5099.1
36144,37,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,224,7,999,0,-1.8,92.893,-46.2,1.27,5099.1
27380,48,technician,married,basic.4y,unknown,no,no,cellular,nov,fri,362,1,999,0,-0.1,93.2,-42.0,4.021,5195.8
32482,43,blue-collar,married,basic.6y,no,yes,no,cellular,may,fri,156,3,999,0,-1.8,92.893,-46.2,1.313,5099.1
20092,32,admin.,married,university.degree,no,no,no,cellular,aug,mon,270,1,999,0,1.4,93.444,-36.1,4.965,5228.1
36040,35,management,single,university.degree,no,no,no,cellular,may,tue,68,1,999,0,-1.8,92.893,-46.2,1.266,5099.1
21608,41,blue-collar,divorced,basic.9y,no,no,no,cellular,aug,tue,102,1,999,0,1.4,93.444,-36.1,4.963,5228.1
1306,37,blue-collar,married,unknown,unknown,yes,no,telephone,may,thu,266,1,999,0,1.1,93.994,-36.4,4.855,5191.0
3471,45,technician,divorced,professional.course,no,yes,no,telephone,may,thu,850,6,999,0,1.1,93.994,-36.4,4.86,5191.0
1982,36,admin.,married,high.school,no,yes,no,telephone,may,fri,143,3,999,0,1.1,93.994,-36.4,4.855,5191.0
10300,35,student,single,university.degree,unknown,yes,no,telephone,jun,mon,178,4,999,0,1.4,94.465,-41.8,4.96,5228.1
36001,65,retired,married,unknown,no,no,no,cellular,may,tue,318,1,999,0,-1.8,92.893,-46.2,1.266,5099.1
6900,52,retired,married,basic.4y,no,yes,no,telephone,may,thu,138,1,999,0,1.1,93.994,-36.4,4.86,5191.0
24901,38,blue-collar,married,basic.9y,no,no,no,cellular,nov,tue,180,2,999,1,-0.1,93.2,-42.0,4.153,5195.8
38865,25,admin.,single,unknown,no,yes,no,telephone,nov,mon,643,4,999,0,-3.4,92.649,-30.1,0.714,5017.5
27833,28,self-employed,single,university.degree,no,yes,yes,cellular,mar,fri,3076,1,999,0,-1.8,92.843,-50.0,1.64,5099.1
19021,53,blue-collar,married,basic.9y,no,yes,no,cellular,aug,tue,241,1,999,0,1.4,93.444,-36.1,4.968,5228.1
24108,37,admin.,married,university.degree,no,yes,no,telephone,nov,wed,119,1,6,1,-0.1,93.2,-42.0,4.286,5195.8
27078,55,technician,married,professional.course,no,no,no,cellular,nov,fri,348,2,999,0,-0.1,93.2,-42.0,4.021,5195.8
2437,57,retired,married,university.degree,no,yes,no,telephone,may,tue,768,1,999,0,1.1,93.994,-36.4,4.856,5191.0
31904,46,management,married,university.degree,no,yes,no,cellular,may,thu,458,2,999,0,-1.8,92.893,-46.2,1.327,5099.1
23424,33,self-employed,married,basic.4y,no,no,no,cellular,aug,wed,263,7,999,0,1.4,93.444,-36.1,4.964,5228.1
20935,31,admin.,single,university.degree,unknown,no,no,cellular,aug,thu,69,3,999,0,1.4,93.444,-36.1,4.964,5228.1
16148,58,retired,married,basic.4y,no,no,no,cellular,jul,tue,81,1,999,0,1.4,93.918,-42.7,4.961,5228.1
39996,30,technician,single,university.degree,no,yes,no,telephone,jun,wed,263,1,999,2,-1.7,94.055,-39.8,0.767,4991.6
32742,26,services,single,high.school,no,yes,no,cellular,may,mon,274,1,999,0,-1.8,92.893,-46.2,1.299,5099.1
35332,32,admin.,single,university.degree,no,no,no,cellular,may,fri,800,5,999,0,-1.8,92.893,-46.2,1.25,5099.1
2076,29,technician,single,university.degree,no,no,no,telephone,may,mon,1147,2,999,0,1.1,93.994,-36.4,4.857,5191.0
27478,41,technician,married,professional.course,no,yes,no,cellular,nov,fri,82,5,5,1,-0.1,93.2,-42.0,4.021,5195.8
21502,36,admin.,married,university.degree,unknown,no,no,cellular,aug,tue,97,3,999,0,1.4,93.444,-36.1,4.963,5228.1
9359,36,blue-collar,married,basic.4y,no,yes,no,telephone,jun,fri,86,3,999,0,1.4,94.465,-41.8,4.967,5228.1
4752,35,technician,single,university.degree,no,yes,no,telephone,may,wed,412,1,999,0,1.1,93.994,-36.4,4.858,5191.0
39631,56,technician,married,professional.course,no,yes,no,telephone,may,mon,483,5,999,0,-1.8,93.876,-40.0,0.682,5008.7
36579,35,admin.,married,university.degree,no,no,no,cellular,jun,thu,510,3,999,0,-2.9,92.963,-40.8,1.26,5076.2
4464,42,services,married,professional.course,no,no,no,telephone,may,tue,107,1,999,0,1.1,93.994,-36.4,4.856,5191.0
