,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
21002,36,self-employed,married,basic.9y,unknown,no,no,cellular,aug,thu,1184,2,999,0,1.4,93.444,-36.1,4.964,5228.1,1
39575,18,student,single,unknown,no,yes,no,telephone,may,tue,421,1,3,1,-1.8,93.876,-40.0,0.668,5008.7,1
10034,36,blue-collar,married,basic.6y,no,yes,no,telephone,jun,thu,614,2,999,0,1.4,94.465,-41.8,4.958,5228.1,1
21899,43,management,married,university.degree,no,no,no,cellular,aug,wed,94,1,999,0,1.4,93.444,-36.1,4.964,5228.1,0
38080,27,admin.,single,university.degree,no,yes,no,cellular,sep,tue,126,2,999,0,-3.4,92.379,-29.8,0.77,5017.5,1
23020,50,admin.,divorced,high.school,no,no,no,cellular,aug,tue,664,9,999,0,1.4,93.444,-36.1,4.965,5228.1,1
37871,38,technician,married,professional.course,no,unknown,unknown,telephone,aug,mon,473,2,9,1,-2.9,92.201,-31.4,0.821,5076.2,1
20749,34,entrepreneur,married,unknown,no,no,no,cellular,aug,wed,165,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0
37816,59,technician,married,professional.course,no,yes,no,cellular,aug,wed,210,4,999,0,-2.9,92.201,-31.4,0.834,5076.2,1
21890,30,admin.,single,university.degree,no,yes,no,cellular,aug,wed,105,1,999,0,1.4,93.444,-36.1,4.964,5228.1,0
20349,50,blue-collar,married,professional.course,unknown,no,no,cellular,aug,tue,150,1,999,0,1.4,93.444,-36.1,4.966,5228.1,0
39275,82,retired,married,professional.course,no,yes,no,telephone,mar,mon,506,2,999,0,-1.8,93.369,-34.8,0.646,5008.7,1
9438,32,admin.,single,university.degree,no,unknown,unknown,telephone,jun,fri,121,4,999,0,1.4,94.465,-41.8,4.967,5228.1,0
39174,55,admin.,married,university.degree,no,yes,no,telephone,mar,thu,220,7,999,0,-1.8,93.369,-34.8,0.654,5008.7,0
9935,43,services,single,unknown,unknown,yes,no,telephone,jun,wed,86,2,999,0,1.4,94.465,-41.8,4.959,5228.1,0
41038,23,student,single,high.school,no,yes,no,cellular,oct,mon,226,2,999,1,-1.1,94.601,-49.5,1.032,4963.6,1
12797,34,management,single,unknown,no,yes,no,cellular,jul,tue,288,1,999,0,1.4,93.918,-42.7,4.962,5228.1,0
39083,50,admin.,married,university.degree,no,yes,no,cellular,dec,tue,410,3,999,0,-3.0,92.713,-33.0,0.708,5023.5,1
37002,56,retired,married,high.school,no,yes,yes,cellular,jul,fri,308,2,999,0,-2.9,92.469,-33.6,1.059,5076.2,1
11966,29,entrepreneur,single,university.degree,no,no,no,telephone,jun,wed,347,1,999,0,1.4,94.465,-41.8,4.958,5228.1,0
39821,47,blue-collar,married,basic.9y,no,unknown,unknown,cellular,jun,tue,380,1,999,0,-1.7,94.055,-39.8,0.713,4991.6,1
799,39,blue-collar,divorced,basic.6y,unknown,yes,yes,telephone,may,wed,32,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0
22479,35,technician,single,high.school,unknown,no,no,cellular,aug,fri,1258,1,999,0,1.4,93.444,-36.1,4.964,5228.1,1
37462,36,unemployed,married,university.degree,no,no,no,cellular,aug,thu,222,1,999,0,-2.9,92.201,-31.4,0.873,5076.2,1
27113,30,admin.,single,university.degree,no,yes,no,cellular,nov,fri,222,2,999,0,-0.1,93.2,-42.0,4.021,5195.8,0
19935,37,admin.,single,university.degree,no,no,no,cellular,aug,fri,62,1,999,0,1.4,93.444,-36.1,4.966,5228.1,0
4653,38,blue-collar,married,high.school,unknown,yes,no,telephone,may,wed,173,1,999,0,1.1,93.994,-36.4,4.858,5191.0,0
37687,33,admin.,single,university.degree,no,yes,no,cellular,aug,wed,173,1,1,1,-2.9,92.201,-31.4,0.854,5076.2,1
6648,54,technician,married,professional.course,no,no,no,telephone,may,wed,796,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1
40097,35,technician,single,professional.course,no,no,no,cellular,jul,mon,562,4,999,0,-1.7,94.215,-40.3,0.827,4991.6,1
40805,33,admin.,married,university.degree,no,yes,no,cellular,sep,thu,272,2,999,0,-1.1,94.199,-37.5,0.878,4963.6,1
15810,32,services,married,basic.4y,unknown,no,no,cellular,jul,mon,891,4,999,0,1.4,93.918,-42.7,4.96,5228.1,1
36488,38,technician,married,university.degree,no,yes,no,cellular,jun,wed,171,1,999,0,-2.9,92.963,-40.8,1.26,5076.2,0
41044,62,admin.,married,high.school,no,no,no,cellular,oct,tue,318,1,4,3,-1.1,94.601,-49.5,1.037,4963.6,1
29316,37,blue-collar,divorced,basic.4y,no,no,no,cellular,apr,fri,2053,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,0
37408,40,management,married,university.degree,no,unknown,unknown,cellular,aug,wed,699,2,999,1,-2.9,92.201,-31.4,0.879,5076.2,0
24400,34,entrepreneur,married,university.degree,unknown,yes,no,cellular,nov,mon,2462,2,999,0,-0.1,93.2,-42.0,4.191,5195.8,1
1148,45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,31,2,999,0,1.1,93.994,-36.4,4.855,5191.0,0
28830,33,blue-collar,married,basic.9y,no,no,no,cellular,apr,thu,225,1,5,1,-1.8,93.075,-47.1,1.41,5099.1,0
38040,42,management,married,basic.6y,no,yes,no,telephone,sep,thu,230,3,999,0,-3.4,92.379,-29.8,0.778,5017.5,1
35766,41,admin.,divorced,high.school,no,yes,no,telephone,may,mon,23,6,999,0,-1.8,92.893,-46.2,1.244,5099.1,0
16294,51,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,tue,156,3,999,0,1.4,93.918,-42.7,4.961,5228.1,0
39581,24,student,single,high.school,no,yes,no,cellular,may,tue,153,2,6,2,-1.8,93.876,-40.0,0.668,5008.7,1
9315,56,technician,married,professional.course,unknown,no,yes,telephone,jun,fri,168,4,999,0,1.4,94.465,-41.8,4.967,5228.1,0
32862,27,housemaid,married,basic.6y,no,no,no,cellular,may,mon,608,3,999,0,-1.8,92.893,-46.2,1.299,5099.1,1
40083,46,admin.,married,university.degree,no,yes,no,cellular,jul,fri,341,3,999,0,-1.7,94.215,-40.3,0.822,4991.6,1
11549,37,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,fri,1663,1,999,0,1.4,94.465,-41.8,4.959,5228.1,1
14568,35,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,tue,130,1,999,0,1.4,93.918,-42.7,4.961,5228.1,0
17169,57,retired,single,basic.4y,no,no,no,telephone,jul,fri,102,4,999,0,1.4,93.918,-42.7,4.962,5228.1,0
41177,57,retired,married,professional.course,no,yes,no,cellular,nov,thu,124,6,999,0,-1.1,94.767,-50.8,1.031,4963.6,0
12826,35,admin.,married,high.school,no,yes,no,cellular,jul,tue,992,2,999,0,1.4,93.918,-42.7,4.962,5228.1,1
2132,57,retired,single,high.school,no,unknown,unknown,telephone,may,mon,1266,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
10932,55,management,single,basic.4y,no,no,no,telephone,jun,wed,205,4,999,0,1.4,94.465,-41.8,4.962,5228.1,0
26246,32,blue-collar,single,basic.9y,no,yes,no,cellular,nov,thu,276,1,999,1,-0.1,93.2,-42.0,4.076,5195.8,1
36432,28,technician,single,professional.course,no,yes,no,cellular,jun,tue,318,1,999,0,-2.9,92.963,-40.8,1.262,5076.2,1
28831,56,admin.,married,basic.9y,no,yes,no,cellular,apr,thu,299,2,999,0,-1.8,93.075,-47.1,1.41,5099.1,1
8822,26,admin.,single,high.school,no,no,no,telephone,jun,thu,463,1,999,0,1.4,94.465,-41.8,4.866,5228.1,0
14042,28,admin.,single,university.degree,no,no,yes,cellular,jul,fri,94,2,999,0,1.4,93.918,-42.7,4.963,5228.1,0
36061,25,admin.,single,university.degree,no,yes,no,cellular,may,tue,228,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,1
36428,44,admin.,single,university.degree,no,no,no,cellular,jun,tue,924,2,4,1,-2.9,92.963,-40.8,1.262,5076.2,1
39190,74,retired,married,unknown,no,no,yes,cellular,mar,fri,607,2,999,0,-1.8,93.369,-34.8,0.653,5008.7,1
36243,29,admin.,single,university.degree,no,yes,no,cellular,jun,mon,154,1,999,0,-2.9,92.963,-40.8,1.266,5076.2,0
39336,30,student,single,unknown,no,yes,no,cellular,mar,tue,136,1,9,1,-1.8,93.369,-34.8,0.637,5008.7,1
5107,38,technician,married,basic.6y,unknown,no,no,telephone,may,fri,785,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1
