,y
6399,0
25665,0
30310,1
26117,0
21458,0
30632,0
37086,1
16128,0
35889,1
38392,1
39595,1
33772,0
39636,1
40427,1
21293,0
28478,1
21295,0
35564,1
5270,0
75,1
661,0
13040,0
4318,0
20742,1
32905,0
30441,1
1444,1
31791,1
21363,0
38589,1
29764,0
12664,0
26195,0
39787,1
40382,1
34399,1
28794,0
9502,0
28766,1
36169,1
10442,0
4830,0
40902,0
14149,0
24171,0
17169,0
32351,1
40216,1
40913,1
14988,0
4084,0
20537,1
40504,1
33621,1
35211,0
5633,0
16218,0
38312,1
36950,1
40749,1
20151,1
1636,1
40328,1
33916,1
36360,1
33316,0
16294,0
28968,0
25561,0
33261,0
11346,1
30226,0
24322,0
12554,0
37690,1
25721,1
3142,0
22221,0
19161,0
30332,1
38970,1
21913,0
37786,0
38296,1
6109,0
31479,0
36243,0
37707,1
4119,0
28038,1
39630,0
29582,0
38230,1
25591,0
29715,0
21082,0
29157,1
33477,1
5007,1
13016,1
31427,0
34041,0
32016,0
14191,0
35948,1
13519,0
38728,1
26048,0
9354,0
14602,1
38316,1
40597,0
25714,1
7808,1
24165,0
5384,1
3506,1
20619,0
36485,1
262,0
22381,0
15269,1
14660,0
14010,0
32592,1
626,0
24138,0
29160,0
28157,0
16537,1
30343,1
13875,0
23299,0
27563,1
18509,0
17568,0
18568,1
21448,0
30900,0
2509,0
17438,0
4252,1
9754,0
5826,0
41065,1
34389,1
17312,1
40350,1
7746,0
39069,1
18521,0
20307,0
7556,0
34838,1
27881,0
12022,0
26837,0
25892,1
37154,1
37540,1
40302,1
36061,1
18527,0
40065,1
2449,1
4201,0
38004,1
3106,0
35845,0
35973,0
37906,1
38646,1
21547,0
39319,1
25233,0
39229,0
7620,1
11400,0
37262,1
37770,1
40663,1
30252,1
10754,0
36723,1
14746,1
40394,1
39023,1
18888,0
22236,1
17580,0
25075,0
38472,0
36089,1
23313,0
24015,1
11802,0
16929,0
38462,1
36122,1
16656,1
29669,0
6928,0
27738,1
21120,0
34529,1
16605,0
38350,1
32813,0
13218,1
16886,0
2194,0
29448,0
28924,0
39830,1
32979,0
12680,0
40177,1
9781,0
13560,0
24473,1
26404,0
37667,1
24650,0
26888,0
26751,0
25927,0
12525,0
39719,1
6202,0
37939,1
17351,0
11575,1
39447,1
10374,0
29859,0
39772,1
25986,0
12206,0
31118,1
40877,1
6494,0
40385,1
12346,0
39572,0
35753,0
40466,1
23993,0
30314,1
27836,1
26389,0
20081,0
9330,0
4209,1
21831,0
15728,0
40928,1
6984,0
20030,0
35411,1
36917,1
15777,0
33382,1
34384,0
34718,1
9881,0
35072,1
36660,1
13662,0
30998,0
2088,0
39299,1
30965,1
2444,1
36087,1
31389,0
15121,1
39576,1
37899,0
37332,1
4389,0
38129,0
33716,0
11619,0
29663,0
36164,1
7592,0
37955,1
2026,0
8822,0
27932,1
31944,1
16583,0
37418,1
30233,1
18715,0
14686,1
16213,0
27983,1
40889,1
38000,1
40116,1
29907,0
23385,0
398,0
19594,0
36291,1
39692,1
33818,1
40912,1
10128,0
30047,1
26996,0
9452,0
38892,1
21659,0
37541,0
41130,1
37996,1
5918,0
17871,1
10707,1
38584,1
25483,0
24984,1
30473,1
17555,0
21513,0
28200,0
34781,0
41063,1
34862,0
20475,0
39808,1
10138,0
4356,0
35829,1
4399,0
24009,1
14948,0
12226,0
39471,1
32328,1
12767,1
36606,1
18838,0
40021,1
12843,1
5908,0
36672,1
8059,0
37075,1
14213,0
39869,1
39703,1
39511,1
40358,1
22921,0
25214,0
40015,1
37406,1
4225,0
8502,1
12008,0
28553,0
38942,1
40148,0
8144,0
41122,1
35282,0
36708,1
13024,0
5432,0
23906,0
35030,0
38062,0
36407,1
22529,0
35183,1
40753,1
39385,1
8086,0
36591,1
32004,0
14756,0
40193,1
5779,0
36121,0
12766,1
24405,0
24151,0
32654,1
37807,1
20954,0
8033,0
17533,0
1294,0
7793,1
30470,0
13208,0
2619,0
29596,1
30491,0
33972,1
29488,0
6400,0
30209,1
31697,0
37663,1
35940,0
168,0
41123,1
39875,1
37010,1
